X-centre values,Y-centre values,Z-slice position,Categories
1279.0,978.0,1,14
1315.0,978.0,1,14
1622.0,978.0,1,1
798.0,979.0,1,12
478.0,980.0,1,14
950.0,985.0,1,12
1082.0,981.0,1,14
1230.0,982.0,1,12
1412.0,988.0,1,14
1656.0,988.0,1,1
348.0,988.0,1,1
710.0,988.0,1,12
1525.0,989.0,1,1
804.0,992.0,1,14
775.0,994.0,1,1
906.0,996.0,1,1
996.0,992.0,1,12
1280.0,998.0,1,14
1680.0,994.0,1,1
1213.0,994.0,1,14
1293.0,996.0,1,1
1740.0,996.0,1,1
1446.0,995.0,1,14
1490.0,999.0,1,124
868.0,1002.0,1,12
1230.0,999.0,1,1
689.0,1003.0,1,12
1710.0,1008.0,1,1
1777.0,1002.0,1,1
418.0,1004.0,1,1
888.0,1004.0,1,1
1395.0,1009.0,1,1
762.0,1005.0,1,12
980.0,1006.0,1,12
1726.0,1006.0,1,1
932.0,1010.0,1,1
750.0,1009.0,1,1
1572.0,1010.0,1,1
1765.0,1014.0,1,12
1360.0,1010.0,1,1
626.0,1012.0,1,14
1651.0,1014.0,1,14
832.0,1021.0,1,1
439.0,1015.0,1,124
664.0,1016.0,1,1
708.0,1016.0,1,12
1106.0,1019.0,1,12
1522.0,1015.0,1,1
481.0,1020.0,1,124
1218.0,1020.0,1,1
1812.0,1027.0,1,1
1655.0,1022.0,1,1
1721.0,1028.0,1,14
909.0,1025.0,1,12
1744.0,1026.0,1,1
810.0,1026.0,1,1
1426.0,1026.0,1,14
1793.0,1025.0,1,1
1478.0,1033.0,1,1
650.0,1028.0,1,12
1468.0,1029.0,1,124
1520.0,1029.0,1,1
692.0,1032.0,1,1
1239.0,1035.0,1,1
738.0,1047.0,1,1
986.0,1040.0,1,14
1038.0,1042.0,1,1
1732.0,1038.0,1,1
1761.0,1041.0,1,14
1442.0,1040.0,1,1
1040.0,1052.0,1,1
1074.0,1041.0,1,1
1633.0,1043.0,1,12
1773.0,1041.0,1,1
847.0,1045.0,1,1
934.0,1046.0,1,1
1175.0,1044.0,1,1
1584.0,1044.0,1,1
1697.0,1050.0,1,1
704.0,1048.0,1,1
1495.0,1054.0,1,124
832.0,1050.0,1,14
1284.0,1049.0,1,1
1305.0,1051.0,1,1
811.0,1051.0,1,12
1468.0,1052.0,1,14
1832.0,1052.0,1,1
660.0,1054.0,1,1
920.0,1054.0,1,124
1017.0,1054.0,1,14
974.0,1057.0,1,1
1516.0,1056.0,1,1
1346.0,1058.0,1,1
1718.0,1062.0,1,1
1429.0,1058.0,1,1
1854.0,1060.0,1,1
775.0,1062.0,1,14
368.0,1062.0,1,14
1731.0,1064.0,1,1
1813.0,1063.0,1,1
1748.0,1061.0,1,14
1585.0,1063.0,1,1
1672.0,1064.0,1,1
1379.0,1069.0,1,1
1602.0,1072.0,1,124
871.0,1075.0,1,14
1331.0,1070.0,1,1
968.0,1074.0,1,1
1734.0,1074.0,1,12
681.0,1082.0,1,124
704.0,1077.0,1,1
946.0,1080.0,1,1
1210.0,1084.0,1,124
1684.0,1084.0,1,1
340.0,1086.0,1,14
893.0,1084.0,1,1
922.0,1086.0,1,14
1716.0,1086.0,1,1
1044.0,1087.0,1,12
